INSERT INTO oceny (user_id, temat, przedmiot, wartosc, data_wystawienia) VALUES('101', 'Kartkówka', 'Język Francuski', '3', '2016-09-14 08:10:19'), 
('101', 'Praca dodatkowa', 'Język Angielski', '1', '2016-12-20 20:50:14'), 
('101', 'Egzamin', 'Wychowanie do Życia w Rodzinie', '5', '2017-01-18 14:52:31'), 
('101', 'Praca dodatkowa', 'Geografia', '5', '2016-09-11 03:02:08'), 
('101', 'Kartkówka', 'Biologia', '4', '2017-01-09 15:20:13'), 
('101', 'Aktywność na lekcji', 'Język Angielski', '3', '2017-01-06 18:16:32'), 
('101', 'Egzamin', 'Godzina Wychowawcza', '6', '2016-09-11 15:16:38'), 
('101', 'Projekt', 'Język Włoski', '6', '2017-01-02 15:11:23'), 
('101', 'Odpowiedź ustna', 'Chemia', '4', '2016-11-09 00:19:11'), 
('101', 'Aktywność na lekcji', 'Geografia', '5', '2017-01-21 17:58:37'), 
('101', 'Odpowiedź ustna', 'Muzyka', '4', '2017-01-30 02:11:58'), 
('101', 'Kartkówka', 'Wiedza o Społeczeństwie', '6', '2016-10-04 18:18:45'), 
('101', 'Egzamin', 'Język Polski', '2', '2017-01-31 11:25:52'), 
('101', 'Aktywność na lekcji', 'Religia', '4', '2016-10-13 00:27:46'), 
('101', 'Aktywność na lekcji', 'Wychowanie Fizyczne', '6', '2017-01-01 08:17:50'), 
('101', 'Aktywność na lekcji', 'Biologia', '1', '2016-09-22 21:51:23'), 
('101', 'Sprawdzian', 'Godzina Wychowawcza', '4', '2016-10-13 01:23:45'), 
('101', 'Kartkówka', 'Technika', '2', '2016-12-07 03:14:33'), 
('101', 'Projekt', 'Biologia', '2', '2016-12-17 07:30:34'), 
('101', 'Egzamin', 'Godzina Wychowawcza', '1', '2016-10-13 14:04:18'), 
('101', 'Sprawdzian', 'Język Włoski', '2', '2016-11-13 04:44:36'), 
('101', 'Kartkówka', 'Język Francuski', '2', '2016-11-09 13:10:58'), 
('101', 'Projekt', 'Wiedza o Społeczeństwie', '2', '2017-01-04 02:58:02'), 
('101', 'Odpowiedź ustna', 'Godzina Wychowawcza', '5', '2016-12-08 00:27:48'), 
('101', 'Kartkówka', 'Matematyka', '5', '2016-12-08 20:25:28'), 
('101', 'Projekt', 'Język Rosyjski', '3', '2017-01-12 11:18:21'), 
('102', 'Kartkówka', 'Zajęcia Artystyczne', '3', '2016-12-05 21:25:42'), 
('102', 'Egzamin', 'Fizyka', '2', '2016-11-10 02:08:10'), 
